kind	personalityId	traitId	weight	line
radio			1	听了会儿电台，晃着脑袋。
radio			1	收音机旁站了一会儿，挺开心。
radio			1	跟着电台小声哼了两句。
radio		trait_music_fan	3	听电台听到入迷，脚还在打拍子。
radio		trait_music_fan	3	音乐一响就不想走了。
radio	personality_shy		2	探头听了会儿电台，又缩回去了。
radio	personality_shy		2	电台声不小，听了一小会儿就溜了。
well			1	趴在井边看了看倒影。
well			1	探头往井里瞅了一眼。
well			1	在井边停了一会儿，好像在想什么。
well	personality_curious		2	好奇地在井边东张西望了好久。
well	personality_curious		2	井里有什么？又凑近看了一眼。
adventure_go			1	朝{region}方向出发了。
adventure_go			1	看板一亮，往{region}去了。
adventure_go	personality_adventurer		3	探险迷锁定{region}，出发！
adventure_back			1	从{region}回来了：{title}，+{gold} 金。
adventure_back	personality_adventurer		3	{region}探险完成！{title}，+{gold} 金。
adventure_tired			2	{region}走累了，还是晃了一圈：{title}，+{gold} 金。
adventure_go			1	看了看板就出门探险了。
adventure_go			1	收拾心情，离开桌子去冒险。
adventure_go			1	看板一亮，腿就先动了。
adventure_back			1	探险回来了，腿有点酸。
adventure_back			1	晃悠一圈回来了，还想再去。
adventure_back			1	带回一点外面的风尘，又落回桌上。
coin			1	捡到铜板，眼睛亮了一下。
coin			1	把地上的钱捡起来了。
coin			1	发现一枚硬币，赶紧叼走。
coin		trait_coin_greedy	3	金币！眼睛都直了，抱紧不放。
coin		trait_coin_greedy	3	捡钱的动作比平时麻利多了。
greet			1	和{0}打了个招呼。
greet			1	凑到{0}旁边晃了晃。
greet			1	跟{0}对视了一下，算打过招呼了。
greet	personality_clingy		2	黏着{0}聊了好一会儿。
greet	personality_clingy		2	一直凑在{0}身边不肯走。
greet		trait_chatterbox	3	对着{0}碎碎念了一通。
greet		trait_chatterbox	3	跟{0}说个没完，对方都愣了。
idle_thought			1	今天有点想出门晃晃。
idle_thought			1	发了一会儿呆，脑子空空的。
idle_thought			1	摸摸肚子，不知在想什么。
idle_thought		trait_sleepy	3	眼皮打架，好想再睡一会儿。
idle_thought		trait_sleepy	3	打了个哈欠，今日份困意很足。
idle_thought		trait_music_fan	2	耳朵有点痒，想听听电台。
idle_thought		trait_music_fan	2	脑子里盘旋着半截小调。
idle_thought		trait_rain_play	2	要是下雨就好了，好想踩水。
idle_thought		trait_rain_play	2	望着窗外，想像雨天那样蹦跶。
idle_thought		trait_chatterbox	2	有点想找谁说说话。
idle_thought	personality_clingy		2	四处张望，看看有没有伴。
idle_thought	personality_lazy		2	能站着就不想挪窝。
idle_thought	personality_lazy		2	今天的运动量，大概已经超标了吧。
like_decor			1	好像特别喜欢{0}
like_luby			1	有点黏着{0}
like_adventure			1	好像爱上探险了
like_coin			1	对金币很上心
like_header			1	好像喜欢：
adventure_go	personality_adventurer		3	看板一亮，整个人都精神了，出门！
adventure_go	personality_adventurer		3	探险迷的本能：看见看板就迈腿。
adventure_tired			2	今天腿有点酸，还是晃了一圈：{title}，+{gold} 金。
adventure_tired			2	出门次数有点多，收获不多（{title}，+{gold} 金）。
adv_alley_coin			2	巷口捡到硬币，口袋叮了一下（+{gold} 金）。
adv_alley_coin	personality_curious		2	好奇地在巷口翻翻找找，真捡到了（+{gold} 金）。
adv_window_shop			2	橱窗看了一圈，口袋几乎没变（+{gold} 金）。
adv_nap_bush			2	草丛里打了个盹，空手回来（+{gold} 金）。
adv_nap_bush		trait_sleepy	3	睡得太香，差点忘了回家（+{gold} 金）。
adv_scare_cat			2	被猫吓跑，口袋里掉出一点钱（+{gold} 金）。
adv_scare_cat	personality_shy		2	吓得一缩，回头才发现口袋有点动静（+{gold} 金）。
adv_follow_crowd			2	跟着热闹走了一段，口袋鼓了一点（+{gold} 金）。
adv_tsun_deny			2	才不是特意去的……但带回了 +{gold} 金。
adv_tsun_deny	personality_tsundere		3	哼，路上碰巧捡的（+{gold} 金）。
adv_help_npc			2	帮人递了东西，收到谢礼 +{gold} 金。
adv_lost_and_found			2	失物归还，管理员给了零钱（+{gold} 金）。
adv_rain_splash			2	踩水玩到鞋湿，还捡到湿硬币（+{gold} 金）。
adv_rain_splash		trait_rain_play	3	雨天踩水超开心，顺手捞到 +{gold} 金。
adv_night_lamp			2	夜里跟着路灯走，捡到亮晶晶的（+{gold} 金）。
adv_night_lamp		trait_night_owl	3	夜路反而精神，带回 +{gold} 金。
adv_snack_smell			2	跟着香味走，花一点捡一点（+{gold} 金）。
adv_snack_smell		trait_foodie	3	胃先出门，口袋后回来（+{gold} 金）。
adv_empty_walk			2	转了一圈，故事很短（+{gold} 金）。
adventure_back			1	探险回来了：{title}，带回 +{gold} 金。
adventure_back			1	外面晃了一圈（{title}），口袋 +{gold} 金。
adventure_back	personality_adventurer		3	又完成一次出门！{title}，+{gold} 金。
idle_thought	personality_adventurer		2	看板是不是又有新路线了？
idle_thought	personality_adventurer		2	有点想出门踩踩风。
