Key,Description,Standard,Chinese,ChineseF,English,Japanese,Korean
SAY.事件.1.46亿年的梦,,这是一片模糊而广袤的空间。,这是一片模糊而广袤的空间。,這是一片模糊而廣袤的空間,This is a vast and blurry space,これはぼんやりと広大な空間だ,여기는 흐릿하고 광대한 공간이다.
SAY.事件.22.46亿年的梦,,你仿佛被包裹在无尽的深蓝和墨绿色的流动光影中。,你仿佛被包裹在无尽的深蓝和墨绿色的流动光影中。,你仿佛被包裹在無盡的深藍和墨綠色的流動光影中,You seem to be enveloped in flowing lights of endless deep blue and dark green,あなたは果てしない深い青と墨色の流れる光に包まれているかのようだ,당신은 끝없는 짙은 파랑과 먹빛 초록의 흐르는 빛과 그림자에 감싸인 듯하다.
SAY.事件.23.46亿年的梦,,这里像深海与星空交织的边缘。,这里像深海与星空交织的边缘。,這裡像深海與星空交織的邊緣,This place feels like the edge where the deep sea and starry sky intertwine,ここは深海と星空が交錯する境界のようだ,이곳은 깊은 바다와 별하늘이 교차하는 경계처럼 느껴진다.
SAY.事件.2.46亿年的梦,,在无垠的幻境深处，传来一段声音。,在无垠的幻境深处，传来一段声音。,在無垠的幻境深處，傳來一段聲音,From the depths of the boundless illusion{c} a sound emerges,果てしない幻想の奥深くから、一つの声が聞こえてくる,"끝없는 환영의 깊은 곳에서, 한 줄기 목소리가 들려온다."
MENU.事件.19,,尝试聆听,尝试聆听,嘗試聆聽,Listen closely,聴いてみる,귀 기울여 듣기
SAY.事件.14.46亿年的梦,,这是一个很长很长的梦。,这是一个很长很长的梦。,這是一個很長很長的夢,This is a long{c} long dream,これはとても長い夢だ,이것은 아주 길고 긴 꿈이다.
SAY.事件.24.46亿年的梦,,最初的我，是一条鱼。,最初的我，是一条鱼。,最初的我，是一條魚,At the very beginning I was a fish,最初の私は、一匹の魚だった,"처음의 나는, 한 마리 물고기였다."
SAY.事件.25.46亿年的梦,,在古代寒冷的洋流里游动。,在古代寒冷的洋流里游动。,在古代寒冷的洋流裡游動,Swimming through the ancient{c} frigid currents,古代の冷たい海流の中を泳いでいた,고대의 차가운 해류 속을 유영한다.
SAY.事件.32.46亿年的梦,,我躲避天敌，捕食比我更小的生物。,我躲避天敌，捕食比我更小的生物。,我躲避天敵，捕食比我更小的生物,I evaded predators and hunted creatures smaller than myself,天敵から逃れ、自分より小さな生き物を捕食していた,"천적을 피하며, 나보다 작은 존재들을 사냥한다."
SAY.事件.31.46亿年的梦,,渐渐的，我的身体发生了微妙的变化。,渐渐的，我的身体发生了微妙的变化。,漸漸的，我的身體發生了微妙的變化,Gradually{c} my body began to change in subtle ways,やがて私の身体は、ほんの少しずつ変化していった,"서서히, 내 몸에 미묘한 변화가 깃들기 시작했다."
MENU.事件.33,,发生了什么变化？,发生了什么变化？,發生了什麼變化？,What kind of changes happened?,どんな変化が起きたの？,무슨 변화가 일어난 걸까?
SAY.事件.36.46亿年的梦,,我的鳃逐渐变成了肺，随后我离开了这片最初的海洋。,我的鳃逐渐变成了肺，随后我离开了这片最初的海洋。,我的鰓逐漸變成了肺，隨後我離開了這片最初的海洋,My gills gradually transformed into lungs{c} and then I left that first ocean behind.,私のえらは少しずつ肺へと変わり、そして私は最初の海を離れた。,"내 아가미는 서서히 폐가 되었고, 그렇게 나는 처음의 바다를 떠났다."
